Order,Destination,Ship to party,Pack date,No of kits/sets,Priority,Incomplete,Shipping point,Background,Foreground,Sampling,Release,Prepick,Bagging,Miniload,SL/Bulk,Long line A,Long line B,QA label,Virtual pack,Haz. Material
50181484,Mozambique,X689J8,05.05.2025,--,2,No,1000,C,,,C,,,,C,,,,,No
50181903,Thailand,X420B6,06.02.2025,--,2,No,1000,C,,,C,C,,,C,,,,,No
50182382,South Sudan,X40402,04.03.2025,--,2,No,1000,C,,,C,C,,,C,,,,C,Yes
50182501,Yemen,X49205,10.03.2025,--,2,No,1000,,C,,C,C,,,C,,,,C,No
50182753,Yemen,X49205,20.03.2025,--,2,No,1000,,C,,C,C,,,C,,,,C,No
50182789,Niger (the),X31802,20.03.2025,--,2,No,1000,C,,,C,C,,,C,,,,C,No
50182790,Niger (the),X31802,20.03.2025,--,2,No,1000,C,,,C,C,,,C,,,,C,No
50182867,Madagascar,X26701,26.03.2025,--,2,No,1000,C,,,C,C,,,C,,,,,No
50182870,Niger (the),X31802,26.03.2025,--,2,No,1000,C,,,C,,,,C,,,,,No
50182869,Uganda,X43802,26.03.2025,--,2,No,1000,C,,,C,C,,,C,,,,,No
50182924,DR of the Congo,X099N6,30.03.2025,--,2,No,1000,,C,,C,,,,C,,,,,No
50182992,Kenya,X24020,01.04.2025,--,2,No,1000,C,,,C,C,,,C,,,,C,No
50182973,South Sudan,X40402,31.03.2025,--,2,No,1000,C,,,C,C,,,C,,,,C,No
50182997,Palestine,X705C3,01.04.2025,--,2,No,1000,C,,,C,C,,,C,,,,C,No
50183020,Sudan (the),X40202,02.04.2025,--,2,No,1000,C,,,C,C,,,C,,,,C,No
50183006,Sudan (the),X40202,02.04.2025,--,2,No,1000,C,,,C,,,,C,,,,C,No
50183007,South Sudan,X40402,02.04.2025,--,2,No,1000,C,,,C,,,,C,,,,C,No
50183009,Sudan (the),X40202,02.04.2025,--,2,No,1000,C,,,C,C,,,C,,,,C,No
50183041,Sudan (the),X40202,26.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,Yes
50183043,Sudan (the),X40202,26.03.2025,--,2,No,1002,C,,,C,C,,,C,,,,C,Yes
